College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
B.J. MEDICAL COLLEGE,MBBS,GN,970.0,706.0,619.0,676.0,676.0
B.J. MEDICAL COLLEGE,MBBS,GN PWD,137735.0,,,,
B.J. MEDICAL COLLEGE,MBBS,OBC,,1920.0,2036.0,2180.0,2180.0
B.J. MEDICAL COLLEGE,MBBS,OBC PWD,,,397293.0,402530.0,402530.0
B.J. MEDICAL COLLEGE,MBBS,SC,13789.0,9767.0,13912.0,14266.0,14266.0
B.J. MEDICAL COLLEGE,MBBS,SC PWD,,402342.0,,,
B.J. MEDICAL COLLEGE,MBBS,ST,29488.0,17173.0,34545.0,38407.0,38407.0
B.J. MEDICAL COLLEGE,MBBS,ST PWD,,747841.0,,,
B.L.D.E University,MBBS,EWS,,214971.0,226140.0,261752.0,261752.0
B.L.D.E University,MBBS,GN,754286.0,668345.0,872793.0,1125560.0,1125560.0
B.L.D.E University,MBBS,OBC,,252147.0,546385.0,1353253.0,1353253.0
B.L.D.E University,MBBS,SC,,251364.0,221867.0,247264.0,247264.0
B.L.D.E University,MBBS,ST,,251194.0,,,
B.R.D. MEDICAL COLLEGE,MBBS,EWS,,6602.0,6555.0,6174.0,6174.0
B.R.D. MEDICAL COLLEGE,MBBS,GN,,5710.0,5315.0,5835.0,5835.0
B.R.D. MEDICAL COLLEGE,MBBS,GN PWD,,257801.0,,,
B.R.D. MEDICAL COLLEGE,MBBS,OBC,,6712.0,7187.0,6961.0,6961.0
B.R.D. MEDICAL COLLEGE,MBBS,SC,,50350.0,54212.0,47762.0,47762.0
B.R.D. MEDICAL COLLEGE,MBBS,ST,,76217.0,72179.0,82531.0,82531.0
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,EWS,,3986.0,3318.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,EWS PWD,,,270558.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,GN,2295.0,1382.0,1642.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,GN PWD,254865.0,,,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,OBC,,3131.0,4759.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,OBC PWD,,220268.0,,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,SC,16203.0,28606.0,30891.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,SC PWD,366095.0,360239.0,966727.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,ST,42462.0,58625.0,58140.0,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,ST PWD,656133.0,,,,
BANGALORE MED. COLLEGE,MBBS,GN,1407.0,,,,
BANGALORE MED. COLLEGE,MBBS,GN PWD,228370.0,,,,
BANGALORE MED. COLLEGE,MBBS,SC,13930.0,,,,
BANGALORE MED. COLLEGE,MBBS,ST,32046.0,,,,
BANKURA SAMMILANI MED COLL,MBBS,EWS,,10908.0,12377.0,13027.0,13027.0
BANKURA SAMMILANI MED COLL,MBBS,GN,10364.0,8252.0,10087.0,10552.0,10552.0
BANKURA SAMMILANI MED COLL,MBBS,GN PWD,334977.0,289828.0,631104.0,,
BANKURA SAMMILANI MED COLL,MBBS,OBC,,11840.0,11964.0,13158.0,13158.0
BANKURA SAMMILANI MED COLL,MBBS,OBC PWD,,,,777299.0,777299.0
BANKURA SAMMILANI MED COLL,MBBS,SC,56623.0,50664.0,66312.0,68315.0,68315.0
BANKURA SAMMILANI MED COLL,MBBS,ST,89605.0,91707.0,110550.0,116228.0,116228.0
BELGAUM INST. OF MEDICAL SCI.,MBBS,EWS,,9693.0,12647.0,12298.0,12298.0
BELGAUM INST. OF MEDICAL SCI.,MBBS,EWS PWD,,524133.0,,,
BELGAUM INST. OF MEDICAL SCI.,MBBS,GN,8074.0,8133.0,6873.0,5855.0,5855.0
BELGAUM INST. OF MEDICAL SCI.,MBBS,GN PWD,,179203.0,,,
BELGAUM INST. OF MEDICAL SCI.,MBBS,OBC,,9487.0,11163.0,9572.0,9572.0
BELGAUM INST. OF MEDICAL SCI.,MBBS,OBC PWD,,,542000.0,,
BELGAUM INST. OF MEDICAL SCI.,MBBS,SC,48903.0,66760.0,61262.0,62944.0,62944.0
BELGAUM INST. OF MEDICAL SCI.,MBBS,ST,69297.0,58857.0,75388.0,71044.0,71044.0
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,EWS,,,846986.0,918428.0,918428.0
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,GN,,767936.0,878306.0,1060578.0,1060578.0
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,OBC,,914957.0,947170.0,1062838.0,1062838.0
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,SC,,494221.0,942164.0,1055241.0,1055241.0
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,ST,,753623.0,,1020215.0,1020215.0
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,EWS,,13594.0,15927.0,15494.0,15494.0
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,GN,9569.0,11838.0,12545.0,12991.0,12991.0
